-a	-M/REM
ṭīrahr-	fly-	v	Ar.
ṭlif-	release-	v	Ar.
ū	and	conj	Ar.
u	and	conj	Ar.
ū’iši	and.so.on	part	Ar.
uḥfuẓhr-	memorise-	v	Ar.
uhu	that	pron
ŭhŭ	that	pron	Mac
urati	tomorrow	adv
urdunn	Jordan	n	Ar.
ordonn	Jordan	n	Ar.
ordon	Jordan	n	Ar.
urup	silver	n
usbūʕ	week	n	Ar.
ustāz	teacher	n	Ar.
ūyar	town	Jerusalem	n
wa	and	conj	Ar.
waddik-	send-	v	Ar.
wāfaqk-	agree-	v	Ar.
wahrī	daughter in law	n	Ar.
wāl	hair	n
wala	nor/not.even/and.not	conj	Ar.
walaw	despite	conj	Ar.
walaʕk-	light-	v	Ar.
waqt	time	n	Ar.
waqtos	then	adv	Ar.
warak-	wear-	v	Ar.
wardžik-	show-	v	Ar.
wark-	wear-	v
wars	rain/year	n
wāšī-	with	prep	Ar.
wašy-	burn-	v
waṭ	stone	n
wāy	air/wind	n
wàz-	free-	v	Kareem
wēnma	wherever	pron	Ar.
wešt-	sit-	v
wēšt-	sit-	v
wēsr-	sit-	v
wēs-	sit-	v
widahr-	grow.old-	v
widi	old.lady	n
wid-	old-
wila	no/or	conj	Ar.
wislaw-	seat-	v
wišnaw-	burn-	v
wṣillo-	arrive-	v	Ar.
wuda	old.man	n
xaddāme	servant	n	Ar.
xāl	maternal.uncle	n	Kurd.	Ar.
xāli	maternal.aunt	n	Kurd.	Ar.
xallaṣ	enough	adv	Ar.
xallī-	leave/let/allow-	v aux	Ar.
xamastaʕš	fifteen	num	Ar.
xamastaʕšar	fifteen	num	Ar.
xamest	five	num	Ar.
xamse	five	num	Ar.
xamsīn	fifty	num	Ar.
xar	bone	n
xar-	bone	n
xarbūš	tent	n	Ar.
xārfān	sheep	n	Ar.
xurfān	sheep	n	Ar.
xarrifk-	speak-	v	Ar.
xarrif-	speak-	v	Ar.
xārūf	lamb	n	Ar.
xašab	wood	n	Ar.
xast	hand	arm	n
xašt-	laugh-	v
xazr-	laugh-	v
xātem	ring	n	Ar.
xatrak	once	adv	Ar.
xaṭṭak	a.pound	n	Ar.
xdimk-	serve-	v	Ar.
xēm 	defecate	v
xēme	tent	n	Ar.
xissahr-	feel-	v	Ar.
xitm	stamp	n	Ar.
xiznaw-	make.laugh-	v
xlaw-	take.out-	v
xo-	cook-	v
xor-	cook-	v
xol-	descend-	v
xul-	descend-	v
xuḍra	vegetables	n	Ar.
xudwar	child	n
xudžoti	yesterday	adv
xur	heart	n
xuṣūṣī	especially	adv	Ar.
xuya	God	n	Kurd.
yā	or/either	conj	Ar.
yabayēy	PART	Ar.
yāfe	Jaffa	n	Ar.
yałła	PART	Ar.
yaʕni	that.is	Ar.
yeɣer	horse	n
zakinya	rabbaba	n	Ar.
zakkirahr-	remember-	v	Ar.
zamān	long.time	adv	Ar.
zar-	comb-	v
zara	child	pl zirte	n
zard	gold	n	Pers.
zarf	envelop	n	Ar.
zari	mouth	n	Kurd.
zayy	like	prep	Ar.
zētūn	olives	n	Ar.
zhurahr-	appear-	v	Ar.
zing	zinc	n	Ar.
zinnahr-	recall/reflect-	v	Ar.
zlāme	men	n	Ar.
ẓunno 	think-	v	Ar.
zʕilahr-	be.angry/be.upset-	v	Ar.
ẓābiṭ	officer	n	Ar.
žbin	forehead	n	Ar.
žild	skin	n	Ar.
džild	skin	n	Ar.
žirān	neighbour	n	Ar.
žlik-	wash.up-	v	Ar.
ʕa	at/on	prep	Ar.
ʕal	at/on	prep	Ar.
ʕabāye	gown	n	Ar.
ʕala	on/to	prep	Ar.
ʕallimahr-	learn-	v	Ar.
ʕamma	PART	Ar.
ʕand	at/among	prep	Ar.
ʕankī-	about-	prep	Ar.
ʕaql	mind	n	Ar.
ʕarīs	bridegroom	n	Ar.
ʕarūs	bride	n	Ar.
ʕaṣfur	bird	n	Ar.
ʕasfūr	bird	n	Ar.
ʕašān	because	prep	Ar.
ʕašan	because	prep	Ar.
ʕaṣāy	wooden stick	n	Ar.
ʕašrīn	twenty	num	Ar.
ʕaṭšān	thirsty	adj	Ar.
ʕazar	bald	adj	Ar.
ʕazifk-	play.music-	v	Ar.
ʕibrānī	Hebrew	n	Ar.
ʕīd	festival	n	Ar.
ʕiddk-	count-	v	Ar.
ʕind	at/among	prep	Ar.
ʕisahr-	live-	v	Ar.
ʕūd	oud	n	Ar.
ʕumr	age	n	Ar.
ʕomr	age	n	Ar.
ʕunṣūriyye	racism	n	Ar.
ʕurus	wedding	n	Ar.
-ō-m-ta	-SG-1SG-DAT
-ō-r-ta	-SG-2SG-DAT
-ō-s-ta	-SG-3SG-DAT
-ō-man-ta	-SG-1PL-DAT
-ō-ran-ta	-SG-2PL-DAT
-ō-san-ta	-SG-3PL-DAT
-ō-m-ki	-SG-1SG-ABL
-ō-r-ki	-SG-2SG-ABL
-ō-s-ki	-SG-3SG-ABL
-ō-man-ki	-SG-1PL-ABL
-ō-ran-ki	-SG-2PL-ABL
-ō-san-ki	-SG-3PL-ABL
-ō-m-ma	-SG-1SG-LOC
-ō-r-ma	-SG-2SG-LOC
-ō-s-ma	-SG-3SG-LOC
-ō-man-ma	-SG-1PL-LOC
-ō-ran-ma	-SG-2PL-LOC
-ō-san-ma	-SG-3PL-LOC
-ō-m-ka	-SG-1SG-DAT
-ō-r-ka	-SG-2SG-DAT
-ō-s-ka	-SG-3SG-DAT
-ō-man-ka	-SG-1PL-DAT
-ō-ran-ka	-SG-2PL-DAT
-ō-san-ka	-SG-3PL-DAT
-ō-m-ke	-SG-1SG-BEN
-ō-r-ke	-SG-2SG-BEN
-ō-s-ke	-SG-3SG-BEN
-ō-man-ke	-SG-1PL-BEN
-ō-ran-ke	-SG-2PL-BEN
-ō-san-ke	-SG-3PL-BEN
ab-ōm-ke	for-1SG-BEN
ab-ōr-ke	for-2SG-BEN
ab-ōs-ke	for-3SG-BEN
ab-ōm-ka	for-1SG-DAT	Mac
ab-ōr-ka	for-2SG-DAT	Mac
ab-ōs-ka	for-3SG-DAT	Mac
-ō-m-san	-SG-1SG-SOC
-ō-r-san	-SG-2SG-SOC
-ō-s-san	-SG-3SG-SOC
-ō-man-san	-SG-1PL-SOC
-ō-ran-san	-SG-2PL-SOC
-ō-san-san	-SG-3PL-SOC
bidd-ō	want-3SG.M
-ō-m	-SG-1SG
-ō-r	-SG-2SG
-ō-s	-SG-3SG
-ō-m-i	-SG-1SG-PRED
-ō-r-i	-SG-2SG-PRED
-ō-s-i	-SG-3SG-PRED
-ō-man	-SG-1PL
-ō-ran	-SG-2PL
-ō-san	-SG-3PL
-ō-man-i	-SG-1PL-PRED
-ō-ran-i	-SG-2PL-PRED
-ō-san-i	-SG-3PL-PRED
-ōm	-1SG
-ōk	-2SG
-ōr	-3SG
-ōn	-1PL
-ōs	-2PL
-ōd	-3PL
-ōnd	-3PL
-ōm-i	-1SG-PRES
-ōk	-2SG
-ōr-i	-SUBJ-3SG-PRES
-ōn-i	-SUBJ-1PL-PRES
-ōs-i	-SUBJ-2PL-PRES
-ōd-i	-SUBJ-3PL-PRES
-ōnd-i	-SUBJ-3PL-PRES
-ōm-a	-SUBJ-1SG-REM
-ōr-a	-SUBJ-3SG-REM
-ōn-a	-SUBJ-1PL-REM
-ōs-a	-SUBJ-2PL-REM
-ōnd-a	-SUBJ-3PL-REM
-ōd-a	-SUBJ-3PL-REM
-ōm-ir	-1SG-2SG
-ōm-is	-1SG-3SG
-ōm-man	-1SG-1PL
-ōm-ran	-1SG-2PL
-ōm-san	-1SG-3PL
-ōy-m	-2SG-1SG
-ōy-s	-2SG-3SG
-ō-man	-2SG-1PL
-ō-ran	-2SG-2PL
-ō-san	-2SG-3PL
-ōr-im	-3SG-1SG
-ōr-ir	-3SG-2SG
-ōr-is	-3SG-3SG
-ōr-man	-3SG-1PL
-ōr-ran	-3SG-2PL
-ōr-san	-3SG-3PL
-ōn-im	-1PL-1SG
-ōn-ir	-1PL-2SG
-ōn-is	-1PL-3SG
-ōn-ran	-1PL-2PL
-ōn-san	-1PL-3PL
-ōs-im	-2PL-1SG
-ōs-ir	-2PL-2SG
-ōs-is	-2PL-3SG
-ōs-man	-2PL-1PL
-ōs-ran	-2PL-2PL
-ōs-san	-2PL-3PL
-ōd-im	-3PL-1SG
-ōd-ir	-3PL-2SG
-ōd-is	-3PL-3SG
-ōd-man	-3PL-1PL
-ōd-ran	-3PL-2PL
-ōd-san	-3PL-3PL
-ōm-r-i	-1SG-2SG-PRES
-ōm-s-i	-1SG-3SG-PRES
-ōm-man-i	-1SG-1PL-PRES
-ōm-ran-i	-1SG-2PL-PRES
-ōm-san-i	-1SG-3PL
-ō-m-i	-2SG-1SG
-ō-s-i	-2SG-3SG
-ō-man-i	-2SG-1PL
-ō-ran-i	-2SG-2PL
-ō-san-i	-2SG-3PL
-ōr-m-i	-3SG-1SG
-ōr-r-i	-3SG-2SG
-ōr-s-i	-3SG-3SG
-ōr-man-i	-3SG-1PL
-ōr-ran-i	-3SG-2PL
-ōr-san-i	-3SG-3PL
-ōn-m-i	-1PL-1SG
-ōn-r-i	-1PL-2SG
-ōn-s-i	-1PL-3SG
-ōn-ran-i	-1PL-2PL
-ōn-san-i	-1PL-3PL
-ōs-m-i	-2PL-1SG
-ōs-r-i	-2PL-2SG
-ōs-s-i	-2PL-3SG
-ōs-man-i	-2PL-1PL
-ōs-ran-i	-2PL-2PL
-ōs-san-i	-2PL-3PL
-ōd-m-i	-3PL-1SG
-ōd-r-i	-3PL-2SG
-ōd-s-i	-3PL-3SG
-ōd-man-i	-3PL-1PL
-ōd-ran-i	-3PL-2PL
-ōd-san-i	-3PL-3PL
-ōm-ir-a	-1SG-2SG-REM
-ōm-is-a	-1SG-3SG-REM
-ōm-man-a	-1SG-1PL-REM
-ōm-ran-a	-1SG-2PL-REM
-ōm-san-a	-1SG-3PL-REM
-ō-m-a	-2SG-1SG-REM
-ō-s-a	-2SG-3SG-REM
-ō-man-a	-2SG-1PL-REM
-ō-ran-a	-2SG-2PL-REM
-ō-san-a	-2SG-3PL-REM
-ōr-m-a	-3SG-1SG-REM
-ōr-r-a	-3SG-2SG-REM
-ōr-s-a	-3SG-3SG-REM
-ōr-man-a	-3SG-1PL-REM
-ōr-ran-a	-3SG-2PL-REM
-ōr-san-a	-3SG-3PL-REM
-ōn-m-a	-1PL-1SG-REM
-ōn-r-a	-1PL-2SG-REM
-ōn-s-a	-1PL-3SG-REM
-ōn-ran-a	-1PL-2PL-REM
-ōn-san-a	-1PL-3PL-REM
-ōs-m-a	-2PL-1SG-REM
-ōs-r-a	-2PL-2SG-REM
-ōs-s-a	-2PL-3SG-REM
-ōs-man-a	-2PL-1PL-REM
-ōs-ran-a	-2PL-2PL-REM
-ōs-san-a	-2PL-3PL-REM
-ōd-m-a	-3PL-1SG-REM
-ōd-r-a	-3PL-2SG-REM
-ōd-s-a	-3PL-3SG-REm
-ōd-man-a	-3PL-1PL-REM
-ōd-ran-a	-3PL-2PL-REM
-ōd-san-a	-3PL-3PL-REM
-d-ōm	-PFV-1SG
-d-ōr	-PFV-2SG
-d-ōm-i	-PFV-1SG-PRES
-d-ōr-i	-PFV-2SG-PRES
-d-ōm-a	-PFV-1SG-REM
-d-ōr-a	-PFV-2SG-REM
-d-ōm-ir	-PFV-1SG-2SG
-d-ōm-is	-PFV-1SG-3SG
-d-ōr-im	-PFV-2SG-1SG
-d-ōr-is	-PFV-2SG-3SG
-d-ōs-im	-PFV-3SG-1SG
-d-ōs-ir	-PFV-3SG-2SG
-d-ōs-is	-PFV-3SG-3SG
-d-ōm-man	-PFV-1SG-1PL
-d-ōm-ran	-PFV-1SG-2PL
-d-ōm-san	-PFV-1SG-3PL
-d-ōr-man	-PFV-2SG-1PL
-d-ōr-ran	-PFV-2SG-1PL
-d-ōr-san	-PFV-2SG-3PL
-d-ōs-man	-PFV-3SG-1PL
-d-ōs-ran	-PFV-3SG-2PL
-d-ōs-san	-PFV-3SG-3PL
-d-ōm-r-i	-PFV-1SG-2SG-PRES
-d-ōm-s-i	-PFV-1SG-3SG-PRES
-d-ōr-m-i	-PFV-2SG-1SG-PRES
-d-ōr-s-i	-PFV-2SG-3SG-PRES
-d-ōs-m-i	-PFV-3SG-1SG-PRES
-d-ōs-r-i	-PFV-3SG-2SG-PRES
-d-ōs-s-i	-PFV-3SG-3SG-PRES
-d-ōm-man-i	-PFV-1SG-1PL-PRES
-d-ōm-ran-i	-PFV-1SG-2PL-PRES
-d-ōm-san-i	-PFV-1SG-3PL-PRES
-d-ōr-man-i	-PFV-2SG-1PL-PRES
-d-ōr-ran-i	-PFV-2SG-1PL-PRES
-d-ōr-san-i	-PFV-2SG-3PL-PRES
-d-ōs-man-i	-PFV-3SG-1PL-PRES
-d-ōs-ran-i	-PFV-3SG-2PL-PRES
-d-ōs-san-i	-PFV-3SG-3PL-PRES
-d-ōm-r-a	-PFV-1SG-2SG-REM
-d-ōm-s-a	-PFV-1SG-3SG-REM
-d-ōr-m-a	-PFV-2SG-1SG-REM
-d-ōr-s-a	-PFV-2SG-3SG-REM
-d-ōs-m-a	-PFV-3SG-1SG-REM
-d-ōs-r-a	-PFV-3SG-2SG-REM
-d-ōs-s-a	-PFV-3SG-3SG-REM
-d-ōm-man-a	-PFV-1SG-1PL-REM
-d-ōm-ran-a	-PFV-1SG-2PL-REM
-d-ōm-san-a	-PFV-1SG-3PL-REM
-d-ōr-man-a	-PFV-2SG-1PL-REM
-d-ōr-ran-a	-PFV-2SG-1PL-REM
-d-ōr-san-a	-PFV-2SG-3PL-REM
-d-ōs-man-a	-PFV-3SG-1PL-REM
-d-ōs-ran-a	-PFV-3SG-2PL-REM
-d-ōs-san-a	-PFV-3SG-3PL-REM
-id-ōm	-PFV-1SG
-id-ōr	-PFV-2SG
-id-ōm-i	-PFV-1SG-PRES
-id-ōr-i	-PFV-2SG-PRES
-id-ōm-a	-PFV-1SG-REM
-id-ōr-a	-PFV-2SG-REM
-id-ōm-ir	-PFV-1SG-2SG
-id-ōm-is	-PFV-1SG-3SG
-id-ōr-im	-PFV-2SG-1SG
-id-ōr-is	-PFV-2SG-3SG
-id-ōs-im	-PFV-3SG-1SG
-id-ōs-ir	-PFV-3SG-2SG
-id-ōs-is	-PFV-3SG-3SG
-id-ōm-man	-PFV-1SG-1PL
-id-ōm-ran	-PFV-1SG-2PL
-id-ōm-san	-PFV-1SG-3PL
-id-ōr-man	-PFV-2SG-1PL
-id-ōr-ran	-PFV-2SG-1PL
-id-ōr-san	-PFV-2SG-3PL
-id-ōs-man	-PFV-3SG-1PL
-id-ōs-ran	-PFV-3SG-2PL
-id-ōs-san	-PFV-3SG-3PL
-id-ōm-r-i	-PFV-1SG-2SG-PRES
-id-ōm-s-i	-PFV-1SG-3SG-PRES
-id-ōr-m-i	-PFV-2SG-1SG-PRES
-id-ōr-s-i	-PFV-2SG-3SG-PRES
-id-ōs-m-i	-PFV-3SG-1SG-PRES
-id-ōs-r-i	-PFV-3SG-2SG-PRES
-id-ōs-s-i	-PFV-3SG-3SG-PRES
-id-ōm-man-i	-PFV-1SG-1PL-PRES
-id-ōm-ran-i	-PFV-1SG-2PL-PRES
-id-ōm-san-i	-PFV-1SG-3PL-PRES
-id-ōr-man-i	-PFV-2SG-1PL-PRES
-id-ōr-ran-i	-PFV-2SG-1PL-PRES
-id-ōr-san-i	-PFV-2SG-3PL-PRES
-id-ōs-man-i	-PFV-3SG-1PL-PRES
-id-ōs-ran-i	-PFV-3SG-2PL-PRES
-id-ōs-san-i	-PFV-3SG-3PL-PRES
-id-ōm-r-a	-PFV-1SG-2SG-REM
-id-ōm-s-a	-PFV-1SG-3SG-REM
-id-ōr-m-a	-PFV-2SG-1SG-REM
-id-ōr-s-a	-PFV-2SG-3SG-REM
-id-ōs-m-a	-PFV-3SG-1SG-REM
-id-ōs-r-a	-PFV-3SG-2SG-REM
-id-ōs-s-a	-PFV-3SG-3SG-REM
-id-ōm-man-a	-PFV-1SG-1PL-REM
-id-ōm-ran-a	-PFV-1SG-2PL-REM
-id-ōm-san-a	-PFV-1SG-3PL-REM
-id-ōr-man-a	-PFV-2SG-1PL-REM
-id-ōr-ran-a	-PFV-2SG-1PL-REM
-id-ōr-san-a	-PFV-2SG-3PL-REM
-id-ōs-man-a	-PFV-3SG-1PL-REM
-id-ōs-ran-a	-PFV-3SG-2PL-REM
-id-ōs-san-a	-PFV-3SG-3PL-REM
-ird-ōm	-PFV-1SG
-ird-ōr	-PFV-2SG
-ird-ōm-i	-PFV-1SG-PRES
-ird-ōr-i	-PFV-2SG-PRES
-ird-ōm-a	-PFV-1SG-REM
-ird-ōr-a	-PFV-2SG-REM
-ird-ōm-ir	-PFV-1SG-2SG
-ird-ōm-is	-PFV-1SG-3SG
-ird-ōr-im	-PFV-2SG-1SG
-ird-ōr-is	-PFV-2SG-3SG
-ird-ōs-im	-PFV-3SG-1SG
-ird-ōs-ir	-PFV-3SG-2SG
-ird-ōs-is	-PFV-3SG-3SG
-ird-ōm-man	-PFV-1SG-1PL
-ird-ōm-ran	-PFV-1SG-2PL
-ird-ōm-san	-PFV-1SG-3PL
-ird-ōr-man	-PFV-2SG-1PL
-ird-ōr-ran	-PFV-2SG-1PL
-ird-ōr-san	-PFV-2SG-3PL
-ird-ōs-man	-PFV-3SG-1PL
-ird-ōs-ran	-PFV-3SG-2PL
-ird-ōs-san	-PFV-3SG-3PL
-ird-ōm-r-i	-PFV-1SG-2SG-PRES
-ird-ōm-s-i	-PFV-1SG-3SG-PRES
-ird-ōr-m-i	-PFV-2SG-1SG-PRES
-ird-ōr-s-i	-PFV-2SG-3SG-PRES
-ird-ōs-m-i	-PFV-3SG-1SG-PRES
-ird-ōs-r-i	-PFV-3SG-2SG-PRES
-ird-ōs-s-i	-PFV-3SG-3SG-PRES
-ird-ōm-man-i	-PFV-1SG-1PL-PRES
-ird-ōm-ran-i	-PFV-1SG-2PL-PRES
-ird-ōm-san-i	-PFV-1SG-3PL-PRES
-ird-ōr-man-i	-PFV-2SG-1PL-PRES
-ird-ōr-ran-i	-PFV-2SG-1PL-PRES
-ird-ōr-san-i	-PFV-2SG-3PL-PRES
-ird-ōs-man-i	-PFV-3SG-1PL-PRES
-ird-ōs-ran-i	-PFV-3SG-2PL-PRES
-ird-ōs-san-i	-PFV-3SG-3PL-PRES
-ird-ōm-r-a	-PFV-1SG-2SG-REM
-ird-ōm-s-a	-PFV-1SG-3SG-REM
-ird-ōr-m-a	-PFV-2SG-1SG-REM
-ird-ōr-s-a	-PFV-2SG-3SG-REM
-ird-ōs-m-a	-PFV-3SG-1SG-REM
-ird-ōs-r-a	-PFV-3SG-2SG-REM
-ird-ōs-s-a	-PFV-3SG-3SG-REM
-ird-ōm-man-a	-PFV-1SG-1PL-REM
-ird-ōm-ran-a	-PFV-1SG-2PL-REM
-ird-ōm-san-a	-PFV-1SG-3PL-REM
-ird-ōr-man-a	-PFV-2SG-1PL-REM
-ird-ōr-ran-a	-PFV-2SG-1PL-REM
-ird-ōr-san-a	-PFV-2SG-3PL-REM
-ird-ōs-man-a	-PFV-3SG-1PL-REM
-ird-ōs-ran-a	-PFV-3SG-2PL-REM
-ird-ōs-san-a	-PFV-3SG-3PL-REM
-ind-ōm	-PFV-1SG
-ind-ōr	-PFV-2SG
-ind-ōm-i	-PFV-1SG-PRES
-ind-ōr-i	-PFV-2SG-PRES
-ind-ōm-a	-PFV-1SG-REM
-ind-ōr-a	-PFV-2SG-REM
-ind-ōm-ir	-PFV-1SG-2SG
-ind-ōm-is	-PFV-1SG-3SG
-ind-ōr-im	-PFV-2SG-1SG
-ind-ōr-is	-PFV-2SG-3SG
-ind-ōs-im	-PFV-3SG-1SG
-ind-ōs-ir	-PFV-3SG-2SG
-ind-ōs-is	-PFV-3SG-3SG
-ind-ōm-man	-PFV-1SG-1PL
-ind-ōm-ran	-PFV-1SG-2PL
-ind-ōm-san	-PFV-1SG-3PL
-ind-ōr-man	-PFV-2SG-1PL
-ind-ōr-ran	-PFV-2SG-1PL
-ind-ōr-san	-PFV-2SG-3PL
-ind-ōs-man	-PFV-3SG-1PL
-ind-ōs-ran	-PFV-3SG-2PL
-ind-ōs-san	-PFV-3SG-3PL
-ind-ōm-r-i	-PFV-1SG-2SG-PRES
-ind-ōm-s-i	-PFV-1SG-3SG-PRES
-ind-ōr-m-i	-PFV-2SG-1SG-PRES
-ind-ōr-s-i	-PFV-2SG-3SG-PRES
-ind-ōs-m-i	-PFV-3SG-1SG-PRES
-ind-ōs-r-i	-PFV-3SG-2SG-PRES
-ind-ōs-s-i	-PFV-3SG-3SG-PRES
-ind-ōm-man-i	-PFV-1SG-1PL-PRES
-ind-ōm-ran-i	-PFV-1SG-2PL-PRES
-ind-ōm-san-i	-PFV-1SG-3PL-PRES
-ind-ōr-man-i	-PFV-2SG-1PL-PRES
-ind-ōr-ran-i	-PFV-2SG-1PL-PRES
-ind-ōr-san-i	-PFV-2SG-3PL-PRES
-ind-ōs-man-i	-PFV-3SG-1PL-PRES
-ind-ōs-ran-i	-PFV-3SG-2PL-PRES
-ind-ōs-san-i	-PFV-3SG-3PL-PRES
-ind-ōm-r-a	-PFV-1SG-2SG-REM
-ind-ōm-s-a	-PFV-1SG-3SG-REM
-ind-ōr-m-a	-PFV-2SG-1SG-REM
-ind-ōr-s-a	-PFV-2SG-3SG-REM
-ind-ōs-m-a	-PFV-3SG-1SG-REM
-ind-ōs-r-a	-PFV-3SG-2SG-REM
-ind-ōs-s-a	-PFV-3SG-3SG-REM
-ind-ōm-man-a	-PFV-1SG-1PL-REM
-ind-ōm-ran-a	-PFV-1SG-2PL-REM
-ind-ōm-san-a	-PFV-1SG-3PL-REM
-ind-ōr-man-a	-PFV-2SG-1PL-REM
-ind-ōr-ran-a	-PFV-2SG-1PL-REM
-ind-ōr-san-a	-PFV-2SG-3PL-REM
-ind-ōs-man-a	-PFV-3SG-1PL-REM
-ind-ōs-ran-a	-PFV-3SG-2PL-REM
-ind-ōs-san-a	-PFV-3SG-3PL-REM
-k-ed-ōm	-VTR-PFV-1SG
-k-ed-ōr	-VTR-PFV-2SG
-k-ed-ōm-ir	-VTR-PFV-1SG-2SG
-k-ed-ōm-is	-VTR-PFV-1SG-3SG
-k-ed-ōr-im	-VTR-PFV-2SG-1SG
-k-ed-ōr-is	-VTR-PFV-2SG-3SG
-k-ed-ōs-im	-VTR-PFV-3SG-1SG
-k-ed-ōs-ir	-VTR-PFV-3SG-2SG
-k-ed-ōs-is	-VTR-PFV-3SG-3SG
-k-ed-ōm-man	-VTR-PFV-1SG-1PL
-k-ed-ōm-ran	-VTR-PFV-1SG-2PL
-k-ed-ōm-san	-VTR-PFV-1SG-3PL
-k-ed-ōr-man	-VTR-PFV-2SG-1PL
-k-ed-ōr-ran	-VTR-PFV-2SG-1PL
-k-ed-ōr-san	-VTR-PFV-2SG-3PL
-k-ed-ōs-man	-VTR-PFV-3SG-1PL
-k-ed-ōs-ran	-VTR-PFV-3SG-2PL
-k-ed-ōs-san	-VTR-PFV-3SG-3PL
-k-ed-ōm-r-i	-VTR-PFV-1SG-2SG-PRES
-k-ed-ōm-s-i	-VTR-PFV-1SG-3SG-PRES
-k-ed-ōr-m-i	-VTR-PFV-2SG-1SG-PRES
-k-ed-ōr-s-i	-VTR-PFV-2SG-3SG-PRES
-k-ed-ōs-m-i	-VTR-PFV-3SG-1SG-PRES
-k-ed-ōs-r-i	-VTR-PFV-3SG-2SG-PRES
-k-ed-ōs-s-i	-VTR-PFV-3SG-3SG-PRES
-k-ed-ōm-man-i	-VTR-PFV-1SG-1PL-PRES
-k-ed-ōm-ran-i	-VTR-PFV-1SG-2PL-PRES
-k-ed-ōm-san-i	-VTR-PFV-1SG-3PL-PRES
-k-ed-ōr-man-i	-VTR-PFV-2SG-1PL-PRES
-k-ed-ōr-ran-i	-VTR-PFV-2SG-1PL-PRES
-k-ed-ōr-san-i	-VTR-PFV-2SG-3PL-PRES
-k-ed-ōs-man-i	-VTR-PFV-3SG-1PL-PRES
-k-ed-ōs-ran-i	-VTR-PFV-3SG-2PL-PRES
-k-ed-ōs-san-i	-VTR-PFV-3SG-3PL-PRES
-k-ed-ōm-r-a	-VTR-PFV-1SG-2SG-REM
-k-ed-ōm-s-a	-VTR-PFV-1SG-3SG-REM
-k-ed-ōr-m-a	-VTR-PFV-2SG-1SG-REM
-k-ed-ōr-s-a	-VTR-PFV-2SG-3SG-REM
-k-ed-ōs-m-a	-VTR-PFV-3SG-1SG-REM
-k-ed-ōs-r-a	-VTR-PFV-3SG-2SG-REM
-k-ed-ōs-s-a	-VTR-PFV-3SG-3SG-REM
-k-ed-ōm-man-a	-VTR-PFV-1SG-1PL-REM
-k-ed-ōm-ran-a	-VTR-PFV-1SG-2PL-REM
-k-ed-ōm-san-a	-VTR-PFV-1SG-3PL-REM
-k-ed-ōr-man-a	-VTR-PFV-2SG-1PL-REM
-k-ed-ōr-ran-a	-VTR-PFV-2SG-1PL-REM
-k-ed-ōr-san-a	-VTR-PFV-2SG-3PL-REM
-k-ed-ōs-man-a	-VTR-PFV-3SG-1PL-REM
-k-ed-ōs-ran-a	-VTR-PFV-3SG-2PL-REM
-k-ed-ōs-san-a	-VTR-PFV-3SG-3PL-REM
-naw-id-ōm	-CAUS-PFV-1SG
-naw-id-ōr	-CAUS-PFV-2SG
-naw-id-ōm-ir	-CAUS-PFV-1SG-2SG
-naw-id-ōm-is	-CAUS-PFV-1SG-3SG
-naw-id-ōr-im	-CAUS-PFV-2SG-1SG
-naw-id-ōr-is	-CAUS-PFV-2SG-3SG
-naw-id-ōs-im	-CAUS-PFV-3SG-1SG
-naw-id-ōs-ir	-CAUS-PFV-3SG-2SG
-naw-id-ōs-is	-CAUS-PFV-3SG-3SG
-naw-id-ōm-man	-CAUS-PFV-1SG-1PL
-naw-id-ōm-ran	-CAUS-PFV-1SG-2PL
-naw-id-ōm-san	-CAUS-PFV-1SG-3PL
-naw-id-ōr-man	-CAUS-PFV-2SG-1PL
-naw-id-ōr-ran	-CAUS-PFV-2SG-1PL
-naw-id-ōr-san	-CAUS-PFV-2SG-3PL
-naw-id-ōs-man	-CAUS-PFV-3SG-1PL
-naw-id-ōs-ran	-CAUS-PFV-3SG-2PL
-naw-id-ōs-san	-CAUS-PFV-3SG-3PL
-naw-id-ōm-r-i	-CAUS-PFV-1SG-2SG-PRES
-naw-id-ōm-s-i	-CAUS-PFV-1SG-3SG-PRES
-naw-id-ōr-m-i	-CAUS-PFV-2SG-1SG-PRES
-naw-id-ōr-s-i	-CAUS-PFV-2SG-3SG-PRES
-naw-id-ōs-m-i	-CAUS-PFV-3SG-1SG-PRES
-naw-id-ōs-r-i	-CAUS-PFV-3SG-2SG-PRES
-naw-id-ōs-s-i	-CAUS-PFV-3SG-3SG-PRES
-naw-id-ōm-man-i	-CAUS-PFV-1SG-1PL-PRES
-naw-id-ōm-ran-i	-CAUS-PFV-1SG-2PL-PRES
-naw-id-ōm-san-i	-CAUS-PFV-1SG-3PL-PRES
-naw-id-ōr-man-i	-CAUS-PFV-2SG-1PL-PRES
-naw-id-ōr-ran-i	-CAUS-PFV-2SG-1PL-PRES
-naw-id-ōr-san-i	-CAUS-PFV-2SG-3PL-PRES
-naw-id-ōs-man-i	-CAUS-PFV-3SG-1PL-PRES
-naw-id-ōs-ran-i	-CAUS-PFV-3SG-2PL-PRES
-naw-id-ōs-san-i	-CAUS-PFV-3SG-3PL-PRES
-naw-id-ōm-r-a	-CAUS-PFV-1SG-2SG-REM
-naw-id-ōm-s-a	-CAUS-PFV-1SG-3SG-REM
-naw-id-ōr-m-a	-CAUS-PFV-2SG-1SG-REM
